CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
8001041090,15.42622950819672,42451.805965909094,7523.15380859375,800104,8001041,1090,1.0936475348e-05,83116.62448294154,0.284613631183041
7006001016,44.392857142857146,43462.09924316406,5163.53857421875,700600,7006001,1016,0.0,,0.0
7005013016,63.87499999999999,43672.249720982145,4409.6923828125,700501,7005013,3016,0.0,,0.0
4013041004,38.44339622641509,44049.38474737151,5516.5,401304,4013041,1004,0.0,,0.0
8004101016,0.046582899172541,43382.0813776241,6547.215847439236,800410,8004101,1016,3.155726e-08,4871.1817831142025,0.992097961296105
2654101001,51.83132530120481,44059.25094068876,5382.942138671875,265410,2654101,1001,0.0,,0.0
4335061019,79.86842105263156,44621.330117984704,2449.730712890625,433506,4335061,1019,0.0,,0.0
4335053004,57.541666666666664,44365.23814174107,2709.65380859375,433505,4335053,3004,0.0,,0.0
2017001014,65.5185185185185,44367.567382812485,3132.8076171875,201700,2017001,1014,0.0,,0.0
4063003002,24.65374677002584,43313.14108827493,5876.644287109375,406300,4063003,3002,0.0,,0.0
7008012009,77.07352941176471,43877.84387207033,4469.615234375,700801,7008012,2009,0.0,,0.0
2651002000,18.763980263157897,43117.13747044613,6392.927354600694,265100,2651002,2000,0.0,,0.0
4021022019,72.19587628865982,45080.607023278055,3486.384521484375,402102,4021022,2019,0.0,,0.0
4328012000,83.73593073593076,44770.22862554113,2380.5,432801,4328012,2000,0.0,,0.0
1926103000,74.61290322580646,45358.95136088709,2243.115478515625,192610,1926103,3000,0.0,,0.0
2623021007,32.518382352941174,43155.68573495371,5868.94873046875,262302,2623021,1007,3.78667453e-07,95773.07313217549,0.003597837510296
